,contrast,homogeneity,correlation,energy,class
802,0.211179578,0.96983803,0.976758381,0.641456541,1
803,0.32039595,0.955338757,0.964802232,0.634808284,1
804,0.262821646,0.960108334,0.971100801,0.637212294,1
805,0.293325926,0.956771073,0.9677614,0.635527797,1
806,0.31665867,0.954094902,0.965216558,0.634256714,1
807,0.345092296,0.958148519,0.961159738,0.633143174,1
808,0.346960935,0.95800121,0.960922464,0.634615641,1
809,0.193767627,0.975635251,0.978141041,0.641845196,1
810,0.309588142,0.962171719,0.965146287,0.634802681,1
811,0.255094568,0.967017976,0.971265002,0.637017504,1
812,0.279689907,0.965104724,0.968495189,0.636099608,1
813,0.273275927,0.965750182,0.969222582,0.636294994,1
814,0.327668493,0.956025074,0.961778861,0.676287609,1
815,0.328729072,0.956310536,0.961410226,0.676585651,1
816,0.189734989,0.972977797,0.977789208,0.682334097,1
817,0.292618873,0.959781515,0.965849266,0.677374728,1
818,0.251458297,0.9639101,0.970589008,0.678842342,1
819,0.27812429,0.960086397,0.967512131,0.677456921,1
820,0.310295195,0.955489903,0.963774043,0.676285445,1
821,0.281659554,0.960052696,0.964791339,0.712717134,1
822,0.281306028,0.960538515,0.964473963,0.713050028,1
823,0.169421046,0.975054418,0.978735814,0.717748564,1
824,0.274841544,0.960666503,0.965619969,0.713181865,1
825,0.240599985,0.963638291,0.969840466,0.714228881,1
826,0.279588899,0.961274276,0.965035165,0.71303323,1
827,0.291356279,0.959038346,0.963543425,0.712498796,1
828,0.300295447,0.960175378,0.965175954,0.66633545,1
829,0.30140653,0.960528056,0.964927178,0.666894882,1
830,0.176029045,0.975580913,0.979528168,0.672906796,1
831,0.279891922,0.961469455,0.96756029,0.667046549,1
832,0.252720891,0.964841738,0.970657943,0.66823795,1
833,0.274286003,0.96286319,0.96817502,0.667453857,1
834,0.285649352,0.96167146,0.966859274,0.666758888,1
835,0.279487892,0.970536154,0.968440636,0.701948885,1
836,0.279184869,0.971103455,0.96823476,0.702405889,1
837,0.16682056,0.981637078,0.981096954,0.706841297,1
838,0.261862074,0.972083659,0.970399198,0.702408967,1
